patent_id,priority_claim_sequence,priority_claim_kind,foreign_application_id,filing_date,foreign_country_filed
D956894,0,regional,005316726-0001,2018-06-19,EM
9570523,0,national,10-2013-0077107,2013-07-02,KR
D758622,0,regional,002091603-0001,2012-08-23,EM
8098560,0,national,P2009-095990,2009-04-10,JP
11455028,0,national,10-2019-0065288,2019-06-03,KR
5516324,1,,5-318414,1993-12-17,JP
10910333,0,national,10-2016-0098644,2016-08-02,KR
D670695,0,national,2011 3 0057018,2011-03-17,CN
6924387,5,national,98-43076,1998-10-14,KR
5332764,0,,4-290087,1992-10-28,JP
9418286,0,national,2013-262010,2013-12-19,JP
10649360,1,national,2015-028945,2015-02-17,JP
8014118,0,national,2007-048113,2007-02-27,JP
4647557,0,,7591/82,1982-12-28,CH
4758211,0,,60-202221[U],1985-12-25,JP
9427452,0,national,2011 1 0023826,2011-01-21,CN
11098867,0,national,102019000004793,2019-03-29,IT
5756550,1,,PCT/GB93/00908,1993-04-30,WO
5936431,0,,96-31422,1996-07-30,KR
9419019,0,national,2014 2 0312931 U,2014-06-12,CN
10283714,0,national,2016 1 0083285,2016-02-05,CN
4779430,5,,60-14780,1985-01-29,JP
10399668,0,regional,15305769,2015-05-22,EP
11319614,1,national,JP2015-078626,2015-04-07,JP
7681875,0,national,2006-027292,2006-02-03,JP
6240018,0,,5-074797,1993-03-31,JP
9171254,0,national,10 2012 207 437,2012-05-04,DE
7981372,0,national,2005-354805,2005-12-08,JP
4721972,0,,60-112752,1985-05-25,JP
9525208,0,national,102129691 A,2013-08-19,TW
10108283,1,national,10-2015-0143597,2015-10-14,KR
7407860,0,national,2004-156569,2004-05-26,JP
8404314,0,national,2006-092017,2006-03-29,JP
5849799,0,,44 09 804.9,1994-03-22,DE
9196662,0,national,10-2012-0096740,2012-08-31,KR
5813620,6,,5-29642  U,1993-05-10,JP
8210122,0,national,0400819,2004-03-30,SE
7992755,0,national,P 2008-115367,2008-04-25,JP
10599275,0,national,2017 1 0729508,2017-08-23,CN
7259352,0,national,2003-075004,2003-03-19,JP
6248880,0,,9802676,1998-08-06,SE
6499280,0,,11-064200,1999-03-11,JP
10608475,0,national,10-2013-0110563,2013-09-13,KR
4909345,0,,62-245306,1987-09-29,JP
10968926,0,national,JP2015-202708,2015-10-14,JP
8928913,0,national,2009 1 0138244,2009-05-08,CN
11155698,0,national,1650962-2,2016-07-01,SE
5386587,0,,3-354501,1991-12-20,JP
9969512,2,national,1350127,2013-02-01,SE
9556957,0,national,MI2014A1587,2014-09-15,IT
9789860,0,national,10 2013 212 322,2013-06-26,DE
9395307,0,national,2013-131282,2013-06-24,JP
5415922,0,,2-74151,1990-03-23,JP
9862047,0,national,2012-012447,2012-01-24,JP
10145879,0,national,2014 1 0850029,2014-12-31,CN
5493698,0,,5-061352,1993-02-26,JP
9652819,0,national,10-2014-0167557,2014-11-27,KR
5584988,0,,5-282186,1993-11-11,JP
6542446,0,,99-40990,1999-09-22,KR
7563849,9,national,2000-126327,2000-04-21,JP
7398940,0,national,2004-180083,2004-06-17,JP
5567833,3,,1-139940,1989-06-01,JP
5714298,0,,09600029,1996-01-15,BE
4300490,3,,48/84346,1973-07-26,JP
D876163,0,national,2018 3 0334223,2018-06-27,CN
7242651,0,national,2000-375922,2000-12-11,JP
5610889,0,,5-124446,1993-05-26,JP
7885495,0,national,2008-208422,2008-08-13,JP
9341530,0,national,10-2011-0108802,2011-10-24,KR
8147945,0,national,2007-254689,2007-09-28,JP
5156462,0,,4025011,1990-08-07,DE
7508674,0,national,94214510 A,2005-08-24,TW
D702645,0,national,2012-013376,2012-06-05,JP
11000940,0,national,5028/CHE/2014,2014-10-07,IN
9560302,0,national,2013-167499,2013-08-12,JP
4253499,0,,2703718,1977-01-29,DE
11267915,0,national,201621044205,2017-01-25,IN
4168190,1,,52-33943,1977-03-29,JP
9340046,0,national,2014-201112,2014-09-30,JP
11296718,0,national,201910024295.9,2019-01-10,CN
4857520,0,,3704661,1987-02-14,DE
10389418,0,national,2014-059181,2014-03-20,JP
9677734,0,national,11 57800,2011-09-02,FR
5126245,0,,61-239648,1986-10-07,JP
D917104,0,national,402018000002672,2018-07-10,IT
5409797,2,,3-099511,1991-04-03,JP
8928186,0,national,MI2008A1579,2008-09-03,IT
8521042,0,national,2010-096489,2010-04-19,JP
4233713,0,,7805073,1978-05-02,SE
D713401,9,national,D2010-031494,2010-12-28,JP
D464805,0,,MI01/O0185,2001-03-19,IT
9610055,0,national,2014-136599,2014-07-02,JP
5680290,0,,6-317403,1994-12-21,JP
9680346,0,national,10-2012-0147300,2012-12-17,JP
6158840,1,,9-091559,1997-03-26,JP
6399279,1,,10-064992,1998-03-16,JP
5496328,0,,5-175332,1993-07-15,JP
5583921,1,,4-277990,1992-09-21,JP
4008675,0,,7411064,1974-09-02,SW
4908920,1,,63-177528,1988-07-16,JP
11175732,0,national,1608382,2016-05-12,GB
7872626,0,national,0315929.0,2003-07-08,GB
11139167,1,national,1561618,2015-11-30,FR
11217699,0,national,2012-104286,2012-04-30,JP
7314575,0,national,2004-283125,2004-09-29,JP
7581755,1,national,2003-411899,2003-12-10,JP
5589283,0,,4-079289,1992-02-29,JP
5953978,0,,195 46 942,1995-12-15,DE
11242273,0,national,JP2017-037503,2017-02-28,JP
4696895,0,,8327860,1983-10-18,GB
11348406,1,national,2017-100318,2017-04-29,JP
5670022,0,,9503358,1995-09-27,SE
7869534,0,national,10 2004 047 034,2004-09-28,DE
6264320,0,,7-023572,1995-02-13,JP
6167157,2,,7-030145,1995-01-26,JP
9850567,0,national,2013-241066,2013-11-21,JP
5763088,1,,5-101002,1996-04-27,JP
D276550,0,,56-53551,1981-12-04,JP
4127086,0,,50-102782,1975-08-25,JP
10689468,0,regional,14195897,2014-12-02,EP
9249989,1,national,VI2005A0293,2005-11-07,IT
10155024,1,national,10-2015-0043338,2015-03-27,KR
4857952,0,,59-152359,1984-07-23,JP
8246519,0,national,2007-208803,2007-08-10,JP
6668119,0,,2001-052264,2001-02-27,JP
10493748,1,national,10 2016 217 376,2016-09-13,DE
D775395,0,regional,002643569-0002,2015-02-28,EM
9158636,0,national,2013 1 03757305,2013-08-27,CN
10549372,0,national,201641010952,2016-03-30,IN
9417510,0,national,2013-153996,2013-07-24,JP
4333134,0,,7907036,1979-02-28,GB
8887030,0,regional,10154869,2010-02-26,EP
D850034,0,national,30-2016-0057634,2016-11-29,KR
7807128,0,national,MX/A/2007/003775,2007-03-29,MX
4274585,0,,78 16420,1978-06-01,FR
8737660,0,national,2007-232254,2007-09-07,JP
8471712,1,regional,07253336,2007-08-23,EP
8419150,0,national,P2010-077470,2010-03-30,JP
10682193,0,national,10-2017-0034578,2017-03-20,KR
10209366,0,national,10-2016-0040209,2016-04-01,KR
10948791,0,national,JP2018-107628,2018-06-05,JP
10037730,0,national,2016 1 0305849,2016-05-11,CN
6498748,0,,11-178615,1999-06-24,JP
D831617,0,national,2016-021290,2016-09-30,JP
7272299,0,national,2000-373893,2000-12-08,JP
D291113,0,,1055,1984-07-20,DE
9650931,0,national,10 2014 203 495,2014-02-26,DE
4559632,0,,830371,1983-06-29,SE
10252384,2,national,2015-166054,2015-08-25,JP
4194865,1,,52-155894,1977-12-23,JP
11158196,0,national,JP2018-045330,2018-03-13,JP
5849524,2,,7-129287,1995-04-28,JP
D742481,1,national,2014-009424,2014-04-30,JP
6408587,1,,0022152,2000-09-09,GB
9671544,0,national,2013-220070,2013-10-23,JP
7379128,0,national,2003-324181,2003-09-17,JP
10842509,0,national,2015900355,2015-02-05,AU
7605818,0,national,2005-164192,2005-06-03,JP
5588137,1,,5-138635,1993-06-10,JP
7638626,0,regional,01810644,2001-07-02,EP
8649786,0,national,0702242.9,2007-02-06,GB
6417445,0,,11-191718,1999-07-06,JP
D800004,1,national,2016-000274,2016-01-08,JP
9659754,1,national,2013-161875,2013-08-02,JP
4609287,2,,58-52197,1983-03-28,JP
4240796,1,,53-68697,1978-06-07,JP
D766574,1,national,104300350 D02,2015-03-13,TW
9601209,0,national,10-2014-0060994,2014-05-21,KR
8154781,0,national,0621360.7,2006-10-26,GB
4804991,4,,61-66720,1986-03-25,JP
4830876,0,,3543694,1985-12-11,DE
7127818,0,national,2003-048301,2003-02-25,JP
7092018,1,national,11-307125,1999-10-28,JP
10127867,0,national,2015 1 0549986,2015-09-01,CN
5323513,1,,2956/89,1989-08-11,CH
6607584,0,,01 03607,2001-03-16,FR
7322658,0,national,102 45 068,2002-09-27,DE
7824349,0,national,2005 1 0094315,2005-09-09,CN
10654212,0,national,2015-093369,2015-04-30,JP
4612453,0,,57-19906,1982-02-10,JP
4365236,0,,52-57554,1977-05-20,JP
8930869,0,national,2010-083262,2010-03-31,JP
10969477,0,national,UB2015A004113,2015-10-01,IT
5444165,3,,5-121136,1993-05-24,JP
8630568,1,national,2011-026840,2011-02-10,JP
4729810,0,,PG9208,1985-02-08,AU
5418212,0,,2-330168,1990-11-30,JP
5031290,0,,8903321,1989-02-14,GB
7795195,0,national,2006-232818,2006-08-29,JP
10435341,0,national,15 63169,2015-12-23,FR
10855204,0,national,2015-229877,2015-11-25,JP
5248904,1,,2-19243,1990-01-31,JP
11399615,0,national,201920688548.8,2019-05-14,CN
5111156,0,,1-312551,1989-12-01,JP
10370038,0,national,2014-069069,2014-03-28,JP
10641371,0,national,10-2018-0103934,2018-08-31,KR
11365298,0,national,JP2017-102250,2017-05-24,JP
8107745,0,national,2007-179824,2007-07-09,JP
11213267,0,national,102017007722.3,2017-08-17,DE
9629613,0,national,10-2012-0120975,2012-10-30,KR
5241613,0,,2060424,1992-01-31,CA
7273134,0,national,102 34 335,2002-07-26,DE
10076997,0,regional,11176707,2011-08-05,EP
7619787,0,national,2005-067326,2005-03-10,JP
5025741,0,,63-109781,1988-05-02,JP
10486838,0,regional,11170210,2011-06-16,EP
9626767,0,national,2015-008230,2015-01-20,JP
8222109,0,national,2009-107347,2009-04-27,JP
5118674,0,,8928580,1989-12-19,GB
10537789,0,national,10-2016-0009233,2016-01-26,KR
6018212,4,,8-326941,1996-12-06,JP
6111390,0,,10-009024,1998-01-20,JP
8284304,0,national,9-112806,1997-04-30,JP
5349531,0,,3-048429,1991-03-13,JP
8514969,0,national,2009-140546,2009-06-11,JP
8036492,0,regional,03100375,2003-02-19,EP
3959075,0,,49-81142,1974-07-17,JA
7474694,0,national,2002-31676,2002-06-05,KR
9538711,0,national,2014-076753,2014-04-03,JP
4481218,0,,2715660,1978-11-27,SU
6479342,0,,11-019048,1999-01-27,JP
5106712,0,,1-176448,1989-07-07,JP
10880879,3,national,10-2018-0054517,2018-05-11,KR
6096994,2,,8-113104,1996-04-09,JP
7246355,0,national,98 15493,1998-12-08,FR
6575270,0,,PP9979,1999-04-23,AU
7869936,0,regional,06116980,2006-07-11,EP
4594624,2,,57-1457,1982-01-07,JP
6865188,2,national,9710908,1997-05-27,GB
10132973,0,national,2016-051544,2016-03-15,JP
9145364,0,national,1113/DEL/2013,2013-04-15,IN
4551983,0,,58-107655,1983-06-17,JP
8566949,0,national,2006-334810,2006-12-12,JP
4769835,0,,3506390,1985-02-23,DE
10224991,0,national,201741001716 PS,2017-01-16,IN
6061028,0,,8-012534,1996-11-25,JP
5691284,0,,40 25 494.1,1990-08-11,DE
7852524,0,national,2006-011445,2006-01-19,JP
4166949,0,,7709515,1977-08-24,SE
11335624,0,national,JP2018-174372,2018-09-19,JP
RE48277,0,national,10-2009-0049805,2009-06-05,KR
11267316,0,national,JP2018-199347,2018-10-23,JP
10941372,0,regional,15171685,2015-06-11,EP
4722677,0,,3516510,1985-05-08,DE
6524022,0,,2000-022897,2000-01-31,JP
9031972,0,national,2009 1 0105978,2009-03-12,CN
7310492,0,national,2004-223237,2004-07-30,JP
D924226,0,national,108303034,2019-05-24,TW
11067851,0,national,JP2019-147579,2019-08-09,JP
8310106,0,national,2006-321624,2006-11-29,JP
7329097,0,national,0323230.3,2003-10-03,GB
4328174,0,,2925206,1979-06-22,DE
5419429,0,,9107332  U,1991-06-13,DE
11304990,0,regional,17152449,2017-01-20,EP
8763576,0,national,2012-115514,2012-05-21,JP
9261066,0,national,2011-116931,2011-05-25,JP
6311829,0,,UD97A0189,1997-10-24,IT
4060455,0,,2554530,1975-12-04,DT
4507671,0,,58-41222,1983-03-11,JP
5818297,0,,96 06080,1996-05-15,FR
7604314,1,national,PQ1305,1999-06-30,AU
6376837,0,,11-040608,1999-02-18,JP
6421938,0,,5-324545,1993-12-22,JP
11413472,0,regional,18305162,2018-02-16,EP
6088496,0,,9810705,1998-05-19,GB
4516985,0,,3232134,1982-08-28,DE
8173402,0,national,00 10437,2000-08-08,FR
4829271,0,,3638392,1986-11-11,DE
11255671,0,national,102017216007.1,2017-09-12,DE
5740853,1,,7-064263,1995-03-23,JP
5453570,1,,5-340585,1993-12-07,JP
5860844,1,,6-63536,1994-03-31,JP
7083264,0,national,PO7991,1997-07-15,AU
6599820,0,,11-363865,1999-12-22,JP
4378998,0,,2944375,1979-11-02,DE
4476709,0,,56-129160,1981-08-18,JP
6923279,0,national,2001-243797,2001-08-10,JP
10536546,0,national,11 56987,2011-07-29,FR
4776697,0,,860075,1986-01-08,FI
6981200,0,national,2364072,2001-11-30,CA
D798447,1,regional,002588491-002,2014-12-01,EM
6043359,1,,PCTAT9500208,1995-10-23,AT
9783167,1,national,10 2014 202 072,2014-02-05,DE
9277644,0,national,2009 1 0307440,2009-09-22,CN
6099949,0,,9-167179,1997-06-24,JP
6837454,0,national,2002-135048,2002-05-10,JP
8649252,0,regional,11163376,2011-04-21,EP
D590356,0,national,D2007-032802,2007-11-29,JP
10000110,2,national,10-2014-0006605,2014-01-20,KR
10322219,0,national,10 2013 006 562,2013-04-16,DE
6779612,0,,P2001-382000,2001-12-14,JP
5491567,1,,4-128049,1992-04-20,JP
10276100,0,national,2016 1 0211399,2016-04-06,CN
4874791,0,,57-137909,1982-08-10,JP
10180609,0,national,10-2016-0001747,2016-01-06,KR
9602260,2,national,10-2008-0101970,2008-10-17,KR
10601029,0,national,2014-200324,2014-09-30,JP
10938528,0,national,201611157801.4,2016-12-15,CN
6104882,2,,9-030306,1997-02-14,JP
8731093,0,national,101102751 A,2012-01-20,TW
5433544,8,,2-27518  U,1990-03-16,JP
6921092,0,national,102 37 750,2002-08-17,DE
8824437,0,national,2011-045603,2011-03-02,JP
4937952,0,,21475/88[U],1988-06-22,IT
8032294,0,national,10 2008 001 668,2008-05-08,DE
8380480,0,national,2009-268121,2009-11-25,JP
5930214,0,,6-004212,1994-01-19,JP
11015921,0,national,JP2019-003057,2019-01-11,JP
6017380,1,,7-44602,1995-03-03,JP
8419131,0,national,385585,2008-07-04,PL
10440987,0,national,2016 1 0773268,2016-08-30,CN
4534930,0,,58-31033,1983-02-28,JP
6731565,0,,90128663 A,2001-11-20,TW
5443570,0,,3-024322  U,1991-03-20,JP
4922301,2,,61-111171,1986-05-15,JP
8150449,0,national,2005-346975,2005-11-30,JP
7987795,0,national,2006 00219,2006-02-15,DK
11047913,0,national,201710774407.3,2017-08-31,CN
5986580,0,,97 16228,1997-12-22,FR
8331065,0,national,407/KOL/2009,2009-03-05,IN
5223560,1,,19839 A/90,1990-03-27,IT
5879132,0,,6-158247,1994-06-17,JP
8911545,0,national,2007-179098,2007-07-06,JP
4292102,0,,78 31856,1978-11-10,FR
7160585,0,national,01 16871,2001-12-26,FR
5578627,0,,4-312743,1992-10-25,JP
8487035,1,national,2006-291444,2006-10-26,JP
6676568,0,,BO2000A0625,2000-10-27,IT
8846099,0,national,0814302.6,2008-08-05,GB
6944061,0,regional,02425727,2002-11-28,EP
6709158,0,,2002-080609,2002-03-22,JP
9202726,0,national,2013-55206,2013-03-18,JP
10777553,0,national,10-2017-0085408,2017-07-05,KR
7090289,0,national,2004-182383,2004-06-21,JP
D318402,0,,89 2379,1989-04-07,FR
9523940,1,national,2015-051265,2015-03-13,JP
D815331,0,national,2016 3 0439339,2016-08-29,CN
8618808,0,national,2008-116870,2008-04-28,JP
6353288,1,,10-286256,1998-10-08,JP
10888855,0,national,2015 1 0994514,2015-12-28,CN
4978812,4,,62-333516,1987-12-25,JP
10446904,1,national,2017 2 1047410 U,2017-08-21,CN
5603198,0,,BO93A0410,1993-10-19,IT
4481555,0,,56-151258,1981-09-24,JP
7559268,0,national,2004-209969,2004-07-16,JP
9365016,0,national,2010-033015,2010-02-17,JP
7884971,0,national,2006-271791,2006-10-03,JP
5698000,0,,93 14795,1993-12-09,FR
9394467,0,national,2011-066217,2011-03-24,JP
8925774,2,national,2009-106329,2009-04-24,JP
D415288,0,,9-61326,1997-07-11,JP
8507132,2,national,2007-208401,2007-08-09,JP
8208018,0,national,2007 1 0141775,2007-08-21,CN
6844442,0,national,142610,2001-04-16,IL
D858363,0,national,2017-018258,2017-08-25,JP
8263787,0,national,866/07,2007-05-07,IN
4893037,0,,8701749,1987-04-28,SE
5492759,0,,8903180,1989-09-27,SE
8678147,1,national,2005-055082,2005-02-28,JP
5107283,1,,1-338963,1989-12-27,JP
11219143,0,national,201720109966.8,2017-02-06,CN
7212691,0,national,10-2003-0037007,2003-06-10,KR
10125183,0,national,10-2015-0092548,2015-06-29,KR
8316723,0,international,PCT/EP2007/009513,2007-11-02,WO
10673158,0,national,2018-148673,2018-08-07,JP
11154587,0,regional,15306597,2015-10-09,EP
9893863,0,national,2012-162820,2012-07-23,JP
10202712,0,regional,09166985,2009-07-31,EP
5892075,0,,8-281644,1996-10-04,JP
10049331,0,national,2174/CHE/2010,2010-07-30,IN
8089797,0,national,10-2009-0087640,2009-09-16,KR
7084944,5,national,2000-287403,2000-09-21,JP
4616121,0,,8231147,1982-11-01,GB
5766055,1,,96-34374,1996-10-18,KR
4652164,0,,59-20607[U],1984-02-17,JP
10522785,0,national,10-2016-0166881,2016-12-08,KR
9437416,0,national,2011-068537,2011-03-25,JP
8951020,0,regional,07114608,2007-08-20,EP
11154078,0,national,10-2018-0116270,2018-09-28,KR
10364032,0,national,A 50904/2014,2014-12-15,AT
10824451,0,national,1404222.0,2014-03-11,GB
5531465,0,,92 06355,1992-05-25,FR
10830084,0,national,10 2017 216 119,2017-09-13,DE
4875898,0,,8325848,1983-09-27,GB
6453441,0,,98 03103,1998-03-13,FR
6358500,0,,98 06412,1998-05-20,FR
10539892,0,national,2018-105590,2018-05-31,JP
10466408,1,national,10-2015-0191651,2015-12-31,KR
7824039,0,national,2005-076275,2005-03-17,JP
5475456,0,,61-108278,1986-05-12,JP
5058275,0,,8717200,1987-07-21,GB
7181838,0,national,90123656 A,2001-09-25,TW
9161606,0,national,103123116 A,2014-07-04,TW
4744331,0,,484029,1985-06-14,CA
5058798,0,,1-96947,1989-04-17,JP
7668484,0,national,2006-127061,2006-04-28,JP
5255155,1,,2-250947,1990-09-19,JP
7476909,0,national,2004-368039,2004-12-20,JP
5098936,1,,90-2337,1990-02-23,KR
8051755,0,national,2006-288987,2006-10-24,JP
11452155,0,national,107117049,2018-05-18,TW
10702972,0,national,2012-124663,2012-05-31,JP
RE31865,0,,78 18619,1978-06-21,FR
9789402,0,national,2013-116932,2013-06-03,JP
4963322,0,,88 12982,1988-09-26,FR
5742834,1,,4-182344,1992-07-09,JP
D887354,0,regional,003865708-0001,2017-04-21,EM
11357457,0,national,JP2019-070826,2019-04-02,JP
4278164,3,,51-79426,1976-07-06,JP
6759811,0,,2001-213714,2001-07-13,JP
D688993,0,national,40 2012 100 339,2012-05-04,DE
5714718,0,,7-141969,1995-06-08,JP
9700917,0,national,10-2014-0121720,2014-09-15,KR
D581325,0,national,2007 3 0003351,2007-02-09,CN
10004571,0,national,2011-012914,2011-01-25,JP
10089948,0,national,2016 1 0192823,2016-03-30,CN
9997821,0,national,2015 2 1144087 U,2015-12-31,CN
11255499,0,national,202022096385.X,2020-09-23,CN
8152084,2,national,10-2007-0141317,2007-12-31,KR
4730711,0,,59-182315,1984-08-31,JP
5391403,0,,2-340068,1990-11-30,JP
6138540,0,,9503824,1995-10-31,SE
8849327,0,national,10-2012-0012858,2012-02-08,KR
7213469,1,regional,01125774,2001-10-29,EP
7234797,0,national,PR 3990,2001-03-27,AU
4188625,0,,7701799,1977-02-18,NL
5830832,0,,9121736,1991-10-14,GB
6734803,0,,197 14 600,1997-04-09,DE
5742216,0,,7-104720,1995-04-05,JP
4969483,0,,67216 A/89,1989-03-29,IT
8999101,0,national,2000328,2006-11-23,NL
9160603,0,regional,06022808,2006-11-02,EP
8017465,0,national,2008 1 0222792,2008-09-25,CN
5644171,0,,6-176962,1994-07-28,JP
7162726,2,national,10-187277,1998-07-02,JP
5063576,0,,63-334301,1988-12-28,JP
7859599,0,national,P2005-221258,2005-07-29,JP
11126164,0,national,JP2018-015826,2018-01-31,JP
9229019,0,national,2007-331312,2007-12-25,JP
11374465,1,national,JP2017-142224,2017-07-21,JP
9822488,0,national,2013 1 0687363,2013-12-13,CN
10892691,1,national,2017 1 1391174,2017-12-21,CN
10099649,0,national,2014-046616,2014-03-10,JP
6940042,0,national,2002-218236,2002-07-26,JP
4995733,0,,3716145,1988-05-14,DE
8264430,0,national,2005-349780,2005-12-02,JP
7001582,0,national,100 26 791,2000-05-31,DE
5308650,0,,4122452,1991-07-06,DE
9341749,0,national,10-2013-0037609,2013-04-05,KR
5500177,1,,3-85201,1991-04-17,JP
5096621,1,,1-99497,1989-04-19,JP
9397965,0,national,10-2011-0095674,2011-09-22,KR
D796020,0,national,30-2014-0058826,2014-12-03,KR
10764862,0,national,201641021194,2016-06-21,IN
8134666,2,national,2004-279373,2004-09-27,JP
4056583,0,,50-15923,1975-02-07,JA
8624591,1,national,2011-024332,2011-02-07,JP
4803069,0,,2389/85,1985-06-18,HU
D811313,0,regional,003010289-0001,2016-03-02,EM
D592747,0,regional,000798855,2007-09-28,EM
4627924,0,,83 05117,1983-03-29,FR
5682583,0,,5-166227,1993-06-10,JP
9439366,1,national,2012-278354,2012-12-20,JP
D280853,0,,11 AR 1979/82,1982-06-14,DE
6714507,0,,2000-255297,2000-08-25,JP
5755524,0,,195 03 586.0,1995-02-03,DE
8105673,0,national,P2008-242829,2008-09-22,JP
8720985,0,national,2012-086488,2012-04-05,JP
4579732,0,,78 17899,1978-06-15,FR
4351515,0,,54-82566,1979-07-02,JP
5929425,0,,7-339270,1995-12-26,JP
6348474,1,,10-114718,1998-04-24,JP
7920408,0,national,2007-164545,2007-06-22,JP
4591909,1,,58-68351,1983-04-20,JP
6520845,1,,11-86872,1999-03-29,JP
D933843,0,national,30-2019-0016408,2019-04-08,KR
D573285,0,regional,000590567,2006-09-19,EM
9003760,1,national,09 56552,2009-09-23,FR
D558743,0,national,2006-024175,2006-09-11,JP
8120022,0,national,2007-195505,2007-07-27,JP
D342675,0,,915332,1991-08-30,FR
7972851,0,national,93129594 A,2004-09-30,TW
8987125,0,national,2012-151680,2012-07-05,JP
9474174,0,national,2014-105094,2014-05-21,JP
8666993,0,national,467/MUM/2010,2010-02-22,IN
7928264,0,national,2004905450,2004-09-21,AU
7060363,0,national,102 50 111,2002-10-28,DE
9506615,0,national,10 2011 013 211,2011-03-05,DE
D935537,0,national,202130020446.1,2021-01-12,CN
10760671,0,national,10 2014 209 922,2014-05-23,DE
4797757,0,,60-128571[U],1985-08-23,JP
8253636,1,national,0524176.5,2005-11-28,GB
4084538,0,,51-12213,1976-02-09,JA
7914684,0,national,20020168,2002-01-30,FI
4270236,0,,16260/77,1971-11-09,CH
3934268,0,,42-49667,1967-08-02,JA
10877198,0,national,10-2015-0121502,2015-08-28,KR
5457401,1,,3-194845,1991-07-09,JP
4289044,0,,2830543,1978-07-12,DE
8858437,0,regional,11162845,2011-04-18,EP
9165227,0,national,2012-040341,2012-02-27,JP
9494584,0,national,0029154.2,2000-11-30,GB
11039744,0,national,10 2010 008 146.9,2010-02-12,DE
10616455,0,national,10-2017-0143419,2017-10-31,KR
5823215,0,,96 2 29266.4,1996-02-08,CN
11215800,0,national,JP2016-205573,2016-10-19,JP
11283158,0,national,109116968,2020-05-21,TW
10966217,0,national,JP2015-242375,2015-12-11,JP
6124240,0,,196 38 233,1996-09-19,DE
7068325,0,national,2001-280230,2001-09-14,JP
11130963,0,regional,PCT/EP2017/062923,2017-05-29,EP
6188296,1,,11-128439,1999-05-10,JP
11108152,0,national,2013-156563,2013-07-29,JP
10273572,0,national,2014 1 0788850,2014-12-17,CN
9965822,0,national,10-2014-0020887,2014-02-21,KR
8409903,0,national,10-2006-0099759,2006-10-13,KR
8569056,0,national,2003-166646,2003-06-11,JP
7248505,0,national,10-2003-0083553,2003-11-24,KR
4467970,0,,3127697,1981-07-14,DE
8720283,0,national,1001141.9,2010-01-25,GB
7856842,0,national,1015143,2000-05-09,NL
5280453,0,,2-142665,1990-05-31,JP
6799888,0,,2000-335501,2000-11-02,JP
8524953,0,national,2008-230916,2008-09-09,JP
8740482,7,national,2009-270163,2009-11-27,JP
7883723,0,national,10-2004-0055649,2004-07-16,KR
7391681,0,national,2001-316674,2001-10-15,JP
5315192,0,,4-076007,1992-02-27,JP
6769543,0,,91209872  U,2002-06-28,TW
10948908,2,national,JP2017-145921,2017-07-27,JP
8554418,0,national,10-2009-0087004,2009-09-15,KR
9808897,0,national,13 59747,2013-10-08,FR
8485146,0,national,99140669 A,2010-11-24,TW
7178639,0,national,103 50 225,2003-10-27,DE
4291262,0,,53-140145,1978-11-14,JP
7026845,0,regional,02075303,2002-01-24,EP
9569647,0,national,1221515.8,2012-11-29,GB
7679741,0,national,10 2006 009 831,2006-03-01,DE
6609861,0,,MI2000A1496,2000-07-03,IT
8993340,0,national,10-2010-0093805,2010-09-28,KR
10552039,0,national,2016-256422,2016-12-28,JP
4267785,0,,54-079525,1979-06-21,JP
4374744,0,,56-50515,1981-04-06,JP
9608007,0,national,2009-179773,2009-07-31,JP
4698006,0,,8509366,1985-04-12,GB
D817669,0,national,201615215,2016-09-14,AU
5615486,0,,5-230  U,1993-08-01,JP
7287864,0,national,2005-067401,2005-03-10,JP
7027096,0,national,2000-107995,2000-04-05,JP
9818554,0,national,2013-156723,2013-07-29,JP
9341247,0,national,10-2011-0035467,2011-04-18,KR
10377788,1,national,2015-122009,2015-06-17,JP
8050435,0,national,2009-273084,2009-12-01,JP
4552165,0,,3387/83,1983-06-21,CH
9467578,0,national,2015-034195,2015-02-24,JP
4681883,0,,8427878,1984-11-03,GB
9740273,0,national,102117638 A,2013-05-17,TW
4938074,0,,63-36851[U],1988-03-17,JP
5917816,0,,195 41 398,1995-11-07,DE
10415877,0,national,10 2012 209 817,2012-06-12,DE
8148588,0,national,10 2004 006 817,2004-02-11,DE
D427234,0,,2084754,1999-07-06,GB
6807109,1,,2002-184638,2002-06-25,JP
4604676,6,,59-281815,1984-12-28,JP
8998445,0,national,101118291 A,2012-05-23,TW
D637180,0,national,D2007-023857,2007-08-31,JP
7245996,0,national,0127067.7,2001-11-10,GB
9091902,0,national,2010-243832,2010-10-29,JP
9815799,0,national,2014-036967,2014-02-27,JP
8665197,0,national,2001-141347,2001-05-11,JP
9909343,0,national,105211356 U,2016-07-27,TW
7825015,1,national,10-2004-0077964,2004-09-30,KR
10745242,0,regional,16186223,2016-08-30,EP
6017286,1,,44 45 648,1994-12-21,DE
D372027,0,,39767,1994-12-26,JP
4927077,0,,61-270618,1986-11-13,JP
10542202,1,national,2017-151555,2017-08-04,JP
7924632,0,national,2007-141538,2007-05-29,JP
11312048,0,national,201710016293.6,2017-01-10,CN
10196827,0,national,VR2015A0079,2015-05-12,IT
10617893,2,national,2015 1 0579928,2015-09-11,CN
5416852,0,,2-223498,1990-08-24,JP
6902816,0,national,99 04421,1999-04-06,FR
10381632,8,national,2008 1 0142084,2008-08-26,CN
4773251,0,,720/86,1986-03-18,AT
